"sku","category","brand","supplier","parent_name","product_name","variant_name","description","price","currency","colors","width","height","depth","weight","collection","designer","awards","material","dimensions"
"vipp_Vipp13","N/A","Vipp","Vipp","N/A","Pedal bin 4 L / 1 gal","N/A","The Vipp13 pedal bin the smallest of the Vipp bins and is a trash can ideal for the bathroom. This pedal bin is equipped with a removable inner bin, a lid that ensures air-tight closure, and a damper mechanism that provides smooth closing of the lid. A rubber ring at the base protects floors. For an overview of all available sizes of Vipp bins, click the link below.","229.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","Holger Nielsen, 1939","N/A","Powder-coated steel, stainless steel, rubber. View care instructions","placeholder"
"vipp_Vipp14","N/A","Vipp","Vipp","N/A","Pedal bin 8 L / 2 gal","N/A","The Vipp14 pedal bin is a smaller trash can well-suited for bathrooms. This pedal bin is equipped with a removable inner bin, a lid that ensures air-tight closure, and a damper mechanism that provides smooth closing of the lid. A rubber ring at the base protects floors. For an overview of all available sizes of Vipp bins, click the link below.","255.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","Holger Nielsen, 1939","N/A","Powder-coated steel, stainless steel, silicone. View care instructions","placeholder"
"vipp_Vipp15","N/A","Vipp","Vipp","N/A","Pedal bin 14 L / 4 gal","N/A","The Vipp15 pedal bin is a medium-sized trash can for the kitchen, office or bathroom. This pedal bin is equipped with a removable inner bin, a lid that ensures air-tight closure, and a damper mechanism that provides smooth closing of the lid. A rubber ring at the base protects floors. For an overview of all available sizes of Vipp bins, click the link below.","325.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","Holger Nielsen, 1939","N/A","Powder-coated steel, stainless steel, silicone. View care instructions","placeholder"
"vipp_Vipp16","N/A","Vipp","Vipp","N/A","Pedal bin 18 L / 5 gal","N/A","The Vipp16 pedal bin is a large trash can for kitchen, office or bathroom. This pedal bin is equipped with a removable inner bin, a lid that ensures air-tight closure, and a damper mechanism that provides smooth closing of the lid. A rubber ring at the base protects floors. For an overview of all available sizes of Vipp bins, click the link below.","359.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","Holger Nielsen, 1939","N/A","Powder-coated steel, stainless steel, silicone. View care instructions","placeholder"
"vipp_Vipp17","N/A","Vipp","Vipp","N/A","Pedal bin 30 L / 8 gal","N/A","The Vipp17 pedal bin is the largest of the Vipp bins, ideal for use in kitchens. This pedal bin is equipped with a removable inner bin, a lid that ensures air-tight closure, and a damper mechanism that provides smooth closing of the lid. A rubber ring at the base protects floors. For an overview of all available sizes of Vipp bins, click the link below.","469.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","Holger Nielsen, 1939","N/A","Powder-coated steel, stainless steel, silicone. View care instructions","placeholder"
"vipp_Vipp10","N/A","Vipp","Vipp","N/A","Container","N/A","The Vipp container is an easy storage solution for everything from keys to cotton pads. With a sturdy body and a removable inner section, the Vipp container is a handy addition to every room.","79.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated steel, stainless steel, silicone. View care instructions","placeholder"
"vipp_Vipp5","N/A","Vipp","Vipp","N/A","Soap dish","N/A","The Vipp soap dish neatly stores soap bars in the bathroom. Featuring dishwasher-proof rubber parts, the soap dish can easily be taken apart for cleaning. A rubber base protects surfaces, while a rubber groove keeps the soap dry.","60.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated steel, stainless steel, silicone. View care instructions","placeholder"
"vipp_Vipp11w","N/A","Vipp","Vipp","N/A","Toilet brush, wall","N/A","The wall-mounted Vipp toilet brush is a refined bathroom necessity. A rubber ring at the top of provides air-tight closure. The brush head and inner tube of the toilet brush can be replaced.","189.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated steel, stainless steel, silicone, plastic. View care instructions","placeholder"
"vipp_Vipp11","N/A","Vipp","Vipp","N/A","Toilet brush","N/A","The Vipp toilet brush is a refined bathroom necessity. A silicone ring at the top of the toilet brush provides air-tight closure, while extra weight at the base ensures stability. The brush head and inner tube of the toilet brush can be replaced.","189.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated steel, stainless steel, silicone, plastic. View care instructions","placeholder"
"vipp_Vipp441","N/A","Vipp","Vipp","N/A","Laundry basket","N/A","The Vipp laundry basket is a practical solution for laundry sorting, and is ideal for the bathroom or bedroom. The perforated lid ensures air circulation, and the machine-washable inner liner divided in two sections makes laundry sorting easy. The Vipp laundry basket is fitted on wheels.","509.00","EUR",".","placeholder","placeholder","placeholder","N/A","N/A","N/A","N/A","Powder-coated steel, stainless steel, silicone, nylon mesh. View care instructions","placeholder"
